# Add any new events at the bottom of the list...

Jan 27 3:30pm, Mats Quiz 1, In-person, No, cohortA, Starts 3:30pm
Feb 10 3:30pm, Mats Quiz 2, In-person, No, cohortA, Starts 3:30pm
Mar 10 3:30pm, Mats Quiz 3, In-person, No, cohortA, Starts 3:30pm
Mar 24 3:30pm, Mats Quiz 4, In-person, No, cohortA, Starts 3:30pm

Jan 17 3:30pm, Pre Tutorial assignment 1, Online, No, cohortA, Due 3:30pm
Jan 31 3:30pm, Pre Tutorial assignment 2, Online, No, cohortA, Due 3:30pm
Mar 28 3:30pm, Pre-Tutorial Assignment 3, Online, No, cohortA, Due 3:30pm
Mar 14 3:30pm, Pre-Tutorial assignment 4, Online, No, cohortA, Due 3:30pm

Jan 20 3:30pm, Tutorial Exercise 1, In-person, No, cohortA, Starts 3:30pm
Feb 3 3:30pm, Tutorial Exercise 2, In-person, No, cohortA, Starts 3:30pm
Mar 3 3:30pm, Tutorial Exercise 3, In-person, No, cohortA, Starts 3:30pm
Mar 17 3:30pm, Tutorial Exercise 4, In-person, No, cohortA, Starts 3:30pm

Feb 24 3:30pm, Mats Midterm, In-person, Yes, cohortA, Starts 3:30pm. 90 minutes in duration

Mar 28 6pm, Mats Term Project, In-person, Yes, cohortA, Due 6pm. Opens Mar 10


### Chemistry ###

Jan 20, Chem Team Module 1, Online, No, cohortA, -
Feb 3, Chem Team Module 2, Online, No, cohortA, -
Feb 24, Chem Team Module 3, Online, No, cohortA, -
Mar 10, Chem Team Module 4, Online, No, cohortA, -
Mar 24, Chem Team Module 5, Online, No, cohortA, -
Apr 4, Chem Team Module 6, Online, No, cohortA, -

Feb 1 10am, Chem Midterm 1, In-person, Yes, cohortA, From 10am-12pm
Mar 9 3pm, Chem Midterm 2, In-person, Yes, cohortA, From 3pm-5pm


Jan 20, Chem Lab 1, In-person, No, chemLO, Held sometime this week. For those whose lab section ends in 1/3/5
Jan 27, Chem Lab 1, In-person, No, chemLE, Held sometime this week. For those whose lab section ends in 2/4/6
Feb 3, Chem Lab 2, In-person, No, chemLO, Held sometime this week. For those whose lab section ends in 1/3/5
Feb 10, Chem Lab 2, In-person, No, chemLE, Held sometime this week. For those whose lab section ends in 2/4/6
Feb 24, Chem Lab 3, In-person, No, chemLO, Held sometime this week. For those whose lab section ends in 1/3/5
Mar 3, Chem Lab 3, In-person, No, chemLE, Held sometime this week. For those whose lab section ends in 2/4/6
Mar 10, Chem Lab 4, In-person, No, chemLO, Held sometime this week. For those whose lab section ends in 1/3/5
Mar 17, Chem Lab 4, In-person, No, chemLE, Held sometime this week. For those whose lab section ends in 2/4/6

Feb 7, Chem Post Lab 1, Online, No, cohortA, On achieve
Feb 28, Chem Post Lab 2, Online, No, cohortA, On achieve
Mar 14, Chem Post Lab 3, Online, No, cohortA, On achieve
Mar 28, Chem Post Lab 4, Online, No, cohortA, On achieve

### Statics ###

Jan 23, Statics Assignment 4A, In-person, No, staticsT004, For Tutorial Section 004 Only
Feb 6, Statics Assignment 4B, Online, No, staticsT004, For Tutorial Section 004 Only
Feb 27, Statics Assignment 5A, In-person, No, staticsT004, For Tutorial Section 004 Only
Mar 13, Statics Assignment 5B, Online, No, staticsT004, For Tutorial Section 004 Only
Mar 27, Statics Assignment 6A, In-person, No, staticsT004, For Tutorial Section 004 Only
Apr 10, Statics Assignment 6B, Online, No, staticsT004, For Tutorial Section 004 Only
Feb 6, Statics Quiz 3, In-person, No, staticsT004, For Tutorial Section 004 Only
Mar 13, Statics Quiz 4, In-person, No, staticsT004, For Tutorial Section 004 Only

Jan 23, Statics Assignment 4A, In-person, No, staticsT006, For Tutorial Section 006 Only
Feb 6, Statics Assignment 4B, Online, No, staticsT006, For Tutorial Section 006 Only
Feb 27, Statics Assignment 5A, In-person, No, staticsT006, For Tutorial Section 006 Only
Mar 13, Statics Assignment 5B, Online, No, staticsT006, For Tutorial Section 006 Only
Mar 27, Statics Assignment 6A, In-person, No, staticsT006, For Tutorial Section 006 Only
Apr 10, Statics Assignment 6B, Online, No, staticsT006, For Tutorial Section 006 Only
Feb 6, Statics Quiz 3, In-person, No, staticsT006, For Tutorial Section 006 Only
Mar 13, Statics Quiz 4, In-person, No, staticsT006, For Tutorial Section 006 Only

Jan 24, Statics Assignment 4A, In-person, No, staticsT008, For Tutorial Section 008 Only
Feb 7, Statics Assignment 4B, Online, No, staticsT008, For Tutorial Section 008 Only
Feb 28, Statics Assignment 5A, In-person, No, staticsT008, For Tutorial Section 008 Only
Mar 14, Statics Assignment 5B, Online, No, staticsT008, For Tutorial Section 008 Only
Mar 28, Statics Assignment 6A, In-person, No, staticsT008, For Tutorial Section 008 Only
Apr 11, Statics Assignment 6B, Online, No, staticsT008, For Tutorial Section 008 Only
Feb 7, Statics Quiz 3, In-person, No, staticsT008, For Tutorial Section 008 Only
Mar 14, Statics Quiz 4, In-person, No, staticsT008, For Tutorial Section 008 Only

Jan 24, Statics Assignment 4A, In-person, No, staticsT010, For Tutorial Section 010 Only
Feb 7, Statics Assignment 4B, Online, No, staticsT010, For Tutorial Section 010 Only
Feb 28, Statics Assignment 5A, In-person, No, staticsT010, For Tutorial Section 010 Only
Mar 14, Statics Assignment 5B, Online, No, staticsT010, For Tutorial Section 010 Only
Mar 28, Statics Assignment 6A, In-person, No, staticsT010, For Tutorial Section 010 Only
Apr 11, Statics Assignment 6B, Online, No, staticsT010, For Tutorial Section 010 Only
Feb 7, Statics Quiz 3, In-person, No, staticsT010, For Tutorial Section 010 Only
Mar 14, Statics Quiz 4, In-person, No, staticsT010, For Tutorial Section 010 Only

Jan 23, Statics Assignment 4A, In-person, No, staticsT012, For Tutorial Section 012 Only
Feb 6, Statics Assignment 4B, Online, No, staticsT012, For Tutorial Section 012 Only
Feb 27, Statics Assignment 5A, In-person, No, staticsT012, For Tutorial Section 012 Only
Mar 13, Statics Assignment 5B, Online, No, staticsT012, For Tutorial Section 012 Only
Mar 27, Statics Assignment 6A, In-person, No, staticsT012, For Tutorial Section 012 Only
Apr 10, Statics Assignment 6B, Online, No, staticsT012, For Tutorial Section 012 Only
Feb 6, Statics Quiz 3, In-person, No, staticsT012, For Tutorial Section 012 Only
Mar 13, Statics Quiz 4, In-person, No, staticsT012, For Tutorial Section 012 Only

Jan 23, Statics Assignment 4A, In-person, No, staticsT014, For Tutorial Section 014 Only
Feb 6, Statics Assignment 4B, Online, No, staticsT014, For Tutorial Section 014 Only
Feb 27, Statics Assignment 5A, In-person, No, staticsT014, For Tutorial Section 014 Only
Mar 13, Statics Assignment 5B, Online, No, staticsT014, For Tutorial Section 014 Only
Mar 27, Statics Assignment 6A, In-person, No, staticsT014, For Tutorial Section 014 Only
Apr 10, Statics Assignment 6B, Online, No, staticsT014, For Tutorial Section 014 Only
Feb 6, Statics Quiz 3, In-person, No, staticsT014, For Tutorial Section 014 Only
Mar 13, Statics Quiz 4, In-person, No, staticsT014, For Tutorial Section 014 Only


Jan 16, Statics Assignment 4A, In-person, No, staticsT005, For Tutorial Section 005 Only
Jan 30, Statics Assignment 4B, Online, No, staticsT005, For Tutorial Section 005 Only
Feb 13, Statics Assignment 5A, In-person, No, staticsT005, For Tutorial Section 005 Only
Feb 27, Statics Assignment 5B, Online, No, staticsT005, For Tutorial Section 005 Only
Mar 20, Statics Assignment 6A, In-person, No, staticsT005, For Tutorial Section 005 Only
Apr 3, Statics Assignment 6B, Online, No, staticsT005, For Tutorial Section 005 Only
Jan 30, Statics Quiz 3, In-person, No, staticsT005, For Tutorial Section 005 Only
Mar 6, Statics Quiz 4, In-person, No, staticsT005, For Tutorial Section 005 Only

Jan 16, Statics Assignment 4A, In-person, No, staticsT007, For Tutorial Section 007 Only
Jan 30, Statics Assignment 4B, Online, No, staticsT007, For Tutorial Section 007 Only
Feb 13, Statics Assignment 5A, In-person, No, staticsT007, For Tutorial Section 007 Only
Feb 27, Statics Assignment 5B, Online, No, staticsT007, For Tutorial Section 007 Only
Mar 20, Statics Assignment 6A, In-person, No, staticsT007, For Tutorial Section 007 Only
Apr 3, Statics Assignment 6B, Online, No, staticsT007, For Tutorial Section 007 Only
Jan 30, Statics Quiz 3, In-person, No, staticsT007, For Tutorial Section 007 Only
Mar 6, Statics Quiz 4, In-person, No, staticsT007, For Tutorial Section 007 Only

Jan 17, Statics Assignment 4A, In-person, No, staticsT009, For Tutorial Section 009 Only
Jan 31, Statics Assignment 4B, Online, No, staticsT009, For Tutorial Section 009 Only
Feb 14, Statics Assignment 5A, In-person, No, staticsT009, For Tutorial Section 009 Only
Feb 28, Statics Assignment 5B, Online, No, staticsT009, For Tutorial Section 009 Only
Mar 21, Statics Assignment 6A, In-person, No, staticsT009, For Tutorial Section 009 Only
Apr 4, Statics Assignment 6B, Online, No, staticsT009, For Tutorial Section 009 Only
Jan 31, Statics Quiz 3, In-person, No, staticsT009, For Tutorial Section 009 Only
Mar 7, Statics Quiz 4, In-person, No, staticsT009, For Tutorial Section 009 Only

Jan 17, Statics Assignment 4A, In-person, No, staticsT011, For Tutorial Section 011 Only
Jan 31, Statics Assignment 4B, Online, No, staticsT011, For Tutorial Section 011 Only
Feb 14, Statics Assignment 5A, In-person, No, staticsT011, For Tutorial Section 011 Only
Feb 28, Statics Assignment 5B, Online, No, staticsT011, For Tutorial Section 011 Only
Mar 21, Statics Assignment 6A, In-person, No, staticsT011, For Tutorial Section 011 Only
Apr 4, Statics Assignment 6B, Online, No, staticsT011, For Tutorial Section 011 Only
Jan 31, Statics Quiz 3, In-person, No, staticsT011, For Tutorial Section 011 Only
Mar 7, Statics Quiz 4, In-person, No, staticsT011, For Tutorial Section 011 Only

Jan 16, Statics Assignment 4A, In-person, No, staticsT013, For Tutorial Section 013 Only
Jan 30, Statics Assignment 4B, Online, No, staticsT013, For Tutorial Section 013 Only
Feb 13, Statics Assignment 5A, In-person, No, staticsT013, For Tutorial Section 013 Only
Feb 27, Statics Assignment 5B, Online, No, staticsT013, For Tutorial Section 013 Only
Mar 20, Statics Assignment 6A, In-person, No, staticsT013, For Tutorial Section 013 Only
Apr 3, Statics Assignment 6B, Online, No, staticsT013, For Tutorial Section 013 Only
Jan 30, Statics Quiz 3, In-person, No, staticsT013, For Tutorial Section 013 Only
Mar 6, Statics Quiz 4, In-person, No, staticsT013, For Tutorial Section 013 Only

Jan 16, Statics Assignment 4A, In-person, No, staticsT015, For Tutorial Section 015 Only
Jan 30, Statics Assignment 4B, Online, No, staticsT015, For Tutorial Section 015 Only
Feb 13, Statics Assignment 5A, In-person, No, staticsT015, For Tutorial Section 015 Only
Feb 27, Statics Assignment 5B, Online, No, staticsT015, For Tutorial Section 015 Only
Mar 20, Statics Assignment 6A, In-person, No, staticsT015, For Tutorial Section 015 Only
Apr 3, Statics Assignment 6B, Online, No, staticsT015, For Tutorial Section 015 Only
Jan 30, Statics Quiz 3, In-person, No, staticsT015, For Tutorial Section 015 Only
Mar 6, Statics Quiz 4, In-person, No, staticsT015, For Tutorial Section 015 Only

# NEW EVENTS
Apr 9 9am, Business General Management Final, In-person, Yes, All, Starts 9am
Apr 12 9am, Statics Final, In-person, Yes, All, Starts 9am
Apr 22 2pm, Programming Final, In-person, Yes, cohortB, Starts 2pm
Apr 14 7pm, Lin Alg Final, In-person, Yes, cohortB, Starts 7pm
Apr 10 7pm, Calc II Final, In-person, Yes, All, Starts 7pm
Apr 17 2pm, Physics II Final, In-person, Yes, All, Starts 2pm
Apr 7 2pm, Chem Final, In-person, Yes, cohortA, Starts 2pm
Apr 15 9am, Materials Final, In-person, Yes, cohortA, Starts 9am
Mar 7 9pm, Onshape Intro to Drawings Certificate, Online, No, All, Due 9pm

Feb 28 9pm, 1050 Individual Assignment, Online, No, All, Due 9pm
Mar 3 9pm, 1050 Group Report 2, Online, No, All, Due 9pm
